,0
post_hour,0.24476291020037255
followers,0.21499775630448423
hashtag_count,0.18767346201481497
sentiment,0.1110934569168179
following,0.07906325789984747
caption_length,0.07543982448808435
word_count,0.046402617428575016
type_image,0.02164565154071299
type_video,0.0189210632062905
